epoch,accuracy,auc_roc,epoch_time_s,f1_macro,f1_weighted,sensitivity,specificity,train_acc,train_loss,val_loss
1,0.687,0.9226,325.6,0.5036,0.7124,0.6506,0.9409,0.5985,1.307449,0.9806
2,0.7069,0.9348,323.4,0.5626,0.7301,0.7176,0.9458,0.692625,0.848838,0.8098
3,0.696,0.9464,285.7,0.6066,0.7235,0.749,0.9477,0.732875,0.652791,0.7384
4,0.7564,0.9533,250.7,0.65,0.7732,0.7445,0.9542,0.743625,0.584151,0.7464
5,0.7703,0.9574,251.8,0.6785,0.7846,0.7757,0.9559,0.76325,0.525269,0.6884
6,0.7843,0.9581,243.6,0.7029,0.7971,0.7899,0.9583,0.786875,0.468673,0.6697
7,0.7933,0.9606,242.0,0.6958,0.8035,0.7808,0.9594,0.802375,0.407716,0.6927
8,0.7993,0.9637,244.3,0.7106,0.8107,0.7892,0.9611,0.818125,0.356906,0.6675
9,0.7973,0.9644,241.3,0.7124,0.8103,0.7882,0.9613,0.81875,0.375284,0.6734
10,0.8113,0.9642,249.4,0.7231,0.8206,0.7946,0.9621,0.822,0.348195,0.6826
