epoch,accuracy,auc_roc,epoch_time_s,f1_macro,f1_weighted,sensitivity,specificity,train_acc,train_loss,val_loss
1,0.6975,0.9303,248.6,0.5371,0.7226,0.6706,0.9434,0.602,1.334408,2.851
2,0.6875,0.9403,258.0,0.5852,0.7149,0.7222,0.9444,0.683875,0.911732,0.783
3,0.7034,0.95,248.6,0.626,0.7295,0.7703,0.9491,0.70725,0.748969,0.6786
4,0.7793,0.9571,248.9,0.688,0.7912,0.7659,0.956,0.73625,0.613767,0.6793
5,0.7733,0.9601,249.7,0.6721,0.7866,0.7813,0.9554,0.759625,0.539483,0.6377
6,0.7953,0.9631,246.0,0.6958,0.8041,0.7914,0.9579,0.77575,0.515488,0.6202
7,0.8003,0.9669,245.3,0.7285,0.8107,0.8057,0.9605,0.791875,0.451377,0.6172
8,0.8073,0.9668,245.0,0.7465,0.8169,0.8091,0.9617,0.803375,0.38023,0.6099
9,0.7853,0.9682,245.3,0.7544,0.8018,0.8178,0.9605,0.811875,0.363914,0.6086
10,0.8233,0.9702,246.0,0.7606,0.8292,0.8156,0.9613,0.824375,0.380097,0.6001
11,0.8098,0.9696,246.9,0.7603,0.8196,0.8203,0.9621,0.8345,0.312576,0.6031
12,0.8138,0.9706,246.2,0.772,0.823,0.8313,0.9629,0.838375,0.295619,0.5689
13,0.8153,0.9703,246.0,0.7564,0.8245,0.834,0.9632,0.840875,0.306413,0.5716
14,0.8238,0.9713,247.2,0.7687,0.8321,0.8318,0.9642,0.8425,0.306004,0.5949
15,0.8158,0.9704,246.7,0.7649,0.8249,0.8348,0.9631,0.84975,0.2944,0.5723
