epoch,accuracy,auc_roc,epoch_time_s,f1_macro,f1_weighted,sensitivity,specificity,train_acc,train_loss,val_loss
1,0.6281,0.9072,243.6,0.4524,0.6672,0.6397,0.9359,0.462125,1.505536,1.0493
2,0.685,0.9268,245.3,0.5445,0.7153,0.6972,0.9433,0.47675,1.180894,0.8998
3,0.678,0.9294,245.6,0.5532,0.7085,0.6967,0.9433,0.520875,1.096509,0.8653
4,0.7224,0.9428,247.2,0.6106,0.7448,0.7281,0.9501,0.54125,1.018445,0.7943
5,0.7004,0.9397,247.4,0.6047,0.724,0.7295,0.9472,0.555875,0.949388,0.7387
6,0.7199,0.9436,247.9,0.6112,0.7433,0.7448,0.9497,0.560125,0.915701,0.74
7,0.7579,0.9464,247.3,0.6542,0.7737,0.7542,0.9543,0.589375,0.899028,0.7359
8,0.7384,0.944,246.7,0.6202,0.7577,0.7518,0.9528,0.570375,0.915903,0.7323
9,0.7678,0.9432,247.8,0.6527,0.7826,0.7706,0.9557,0.576625,0.83564,0.7003
10,0.7414,0.9481,246.0,0.6415,0.7624,0.7686,0.9543,0.587875,0.828384,0.6669
11,0.7574,0.952,247.8,0.6586,0.7753,0.7806,0.9569,0.577875,0.760967,0.6294
12,0.7818,0.9503,246.6,0.6776,0.7964,0.7939,0.9592,0.615375,0.795939,0.6528
13,0.7823,0.9474,247.4,0.6747,0.7958,0.7655,0.958,0.59575,0.787839,0.7053
14,0.7878,0.9523,246.0,0.6896,0.8011,0.7906,0.9597,0.61175,0.741723,0.6573
15,0.7903,0.9509,246.9,0.6988,0.8034,0.7922,0.9599,0.596875,0.761672,0.6612
