epoch,accuracy,auc_roc,epoch_time_s,f1_macro,f1_weighted,sensitivity,specificity,train_acc,train_loss,val_loss
1,0.6331,0.9046,333.8,0.4466,0.6738,0.5883,0.9359,0.587625,1.606196,1.2021
2,0.699,0.9297,330.9,0.517,0.7239,0.6404,0.9437,0.640125,1.134923,0.9907
3,0.6855,0.9371,328.6,0.5521,0.7137,0.6912,0.9446,0.67125,0.96757,0.8451
4,0.7169,0.9459,330.1,0.5967,0.7379,0.6945,0.9468,0.694625,0.830811,0.7887
5,0.7164,0.9504,332.0,0.6137,0.7427,0.7336,0.9508,0.715125,0.75612,0.7323
6,0.7529,0.9526,330.4,0.6264,0.7684,0.7182,0.9529,0.720625,0.705542,0.7284
7,0.7319,0.9534,330.6,0.6271,0.7537,0.7432,0.9526,0.744375,0.643666,0.6774
8,0.7389,0.9567,331.1,0.6464,0.7596,0.7664,0.9543,0.741625,0.614125,0.6743
9,0.7683,0.96,332.7,0.6453,0.782,0.741,0.9548,0.7515,0.559251,0.6752
10,0.7743,0.9611,332.3,0.6858,0.7886,0.7647,0.9566,0.757125,0.542357,0.6712
11,0.7654,0.9624,330.9,0.6836,0.7829,0.7596,0.9569,0.772375,0.498959,0.6593
12,0.7659,0.9624,338.9,0.6691,0.7828,0.7697,0.9564,0.7725,0.512047,0.6383
13,0.7713,0.9625,337.1,0.6863,0.7864,0.7735,0.9573,0.772375,0.500363,0.6491
14,0.7743,0.9647,339.2,0.6968,0.7904,0.7702,0.9583,0.784,0.48441,0.6568
15,0.7878,0.9647,335.1,0.6958,0.8015,0.7823,0.96,0.785375,0.467639,0.6368
16,0.7883,0.9651,332.2,0.6956,0.8007,0.7647,0.9593,0.78525,0.453112,0.6267
17,0.7823,0.9646,330.6,0.701,0.7965,0.7713,0.9591,0.798,0.430336,0.6356
18,0.7863,0.9654,330.0,0.694,0.8,0.7655,0.9594,0.795,0.42806,0.6298
19,0.7893,0.966,331.6,0.7072,0.802,0.7748,0.9588,0.791875,0.422349,0.6403
20,0.7953,0.9659,328.7,0.7105,0.8072,0.7717,0.9598,0.8015,0.412073,0.6413
