epoch,accuracy,auc_roc,epoch_time_s,f1_macro,f1_weighted,sensitivity,specificity,train_acc,train_loss,val_loss
1,0.686,0.9296,250.9,0.5237,0.7159,0.6858,0.9435,0.593,1.229923,0.9452
2,0.6875,0.9411,251.6,0.6201,0.714,0.743,0.946,0.67675,0.935728,0.7479
3,0.7224,0.9505,250.5,0.6341,0.7468,0.7416,0.9501,0.71075,0.743816,0.7498
4,0.7778,0.9603,252.1,0.663,0.7926,0.7485,0.9568,0.7455,0.595028,0.7405
5,0.7738,0.9616,254.5,0.6914,0.789,0.7911,0.9572,0.760375,0.567403,0.653
6,0.7973,0.9646,250.4,0.7051,0.8067,0.7977,0.9597,0.786,0.507778,0.6604
7,0.7948,0.967,252.2,0.7248,0.8087,0.7941,0.9608,0.806375,0.404625,0.7109
8,0.8273,0.9694,250.3,0.7583,0.8317,0.7847,0.9624,0.82175,0.3355,0.7322
9,0.7853,0.9701,250.4,0.7625,0.8062,0.7935,0.9621,0.82825,0.332902,0.79
10,0.8288,0.9708,250.8,0.7414,0.8347,0.7777,0.9628,0.83825,0.320943,0.776
11,0.8397,0.9733,250.1,0.7655,0.8439,0.8045,0.9646,0.860625,0.265355,0.749
12,0.8153,0.9736,248.8,0.7701,0.8261,0.805,0.9649,0.882375,0.222173,0.7979
13,0.8328,0.972,289.9,0.7393,0.8376,0.783,0.9649,0.88275,0.21753,0.8081
14,0.8497,0.9759,470.6,0.7719,0.8533,0.8052,0.9661,0.888,0.20042,0.7669
15,0.8497,0.976,408.8,0.7925,0.8544,0.8284,0.9671,0.90025,0.191648,0.7774
16,0.8487,0.9773,281.6,0.7939,0.8545,0.8218,0.9677,0.902875,0.155091,0.8192
17,0.8532,0.9769,243.3,0.79,0.8581,0.8149,0.969,0.9165,0.142385,0.8522
18,0.8507,0.9776,247.1,0.7888,0.856,0.8177,0.9684,0.91175,0.142825,0.8202
19,0.8502,0.9776,246.1,0.7962,0.8568,0.8214,0.9693,0.91125,0.13547,0.8331
20,0.8542,0.9774,253.2,0.791,0.8597,0.8187,0.9697,0.9165,0.13549,0.8214
